approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
gaussian,sigma,0.1,[simulated],0,0.03465641662478447,0.0010876601251463096,0.8372392877936363,-1.0,0
gaussian,sigma,0.1,[simulated],1,0.03465641662478447,0.024657005288948614,0.295111487309138,0.04901975393295288,0
gaussian,sigma,0.1,[simulated],2,0.036056287586688995,0.03348635074992975,0.09001599550247193,0.007960081100463867,1
gaussian,sigma,0.1,[simulated],3,0.03776475414633751,0.03474170962969462,0.017451151212056478,0.0007336735725402832,2
gaussian,sigma,0.1,[simulated],4,0.03776475414633751,0.03570539504289627,0.041004331906636556,0.000607907772064209,3
gaussian,sigma,0.1,[simulated],5,0.043354593217372894,0.0383746853719155,0.00840452512105306,0.005297362804412842,4
gaussian,sigma,0.1,[simulated],6,0.043354593217372894,0.03634600527584553,0.04087092876434326,0.0019505023956298828,5
gaussian,sigma,0.1,[simulated],7,0.043991927057504654,0.04185129515826702,0.01691389481226603,0.00063323974609375,6
gaussian,sigma,0.1,[simulated],0,0.07986199110746384,0.008696325123310089,0.8343727951248486,-1.0,0
gaussian,sigma,0.1,[simulated],1,0.07986199110746384,0.058415714340905346,0.26609242061773936,0.10210824012756348,0
gaussian,sigma,0.1,[simulated],2,0.07986199110746384,0.0728159702072541,0.06986728111902872,0.01116102933883667,0
gaussian,sigma,0.1,[simulated],3,0.08058398962020874,0.07910482212901115,0.02196261485417684,0.000789344310760498,1
gaussian,sigma,0.1,[simulated],4,0.08058398962020874,0.07856256887316704,0.02919602394104004,8.320808410644531e-05,2
gaussian,sigma,0.1,[simulated],5,0.0819476991891861,0.07854861890276273,0.007337339719136556,0.00019240379333496094,3
gaussian,sigma,0.1,[simulated],6,0.09871219098567963,0.08289747188488643,0.015107266108194987,0.00875765085220337,4
gaussian,sigma,0.1,[simulated],7,0.09871219098567963,0.08740599950154622,0.025738712151845297,0.004645943641662598,5
gaussian,sigma,0.1,[simulated],0,0.01652528904378414,-0.033421129609147705,0.8625662411252658,-1.0,0
gaussian,sigma,0.1,[simulated],1,0.017695453017950058,0.015088047832250595,0.29310134301582974,0.01050037145614624,0
gaussian,sigma,0.1,[simulated],2,0.019523287191987038,0.017730906916161377,0.01513206958770752,0.009491145610809326,1
gaussian,sigma,0.1,[simulated],3,0.020961279049515724,0.01677086887260278,0.03475221395492554,0.006144165992736816,2
gaussian,sigma,0.1,[simulated],4,0.021937301382422447,0.019151880405843258,0.029822893937428794,0.017545104026794434,0
gaussian,sigma,0.1,[simulated],5,0.03540758043527603,0.023265552707016468,0.06003982623418172,0.04330575466156006,0
gaussian,sigma,0.1,[simulated],6,0.03540758043527603,0.026170911888281505,0.05901381174723307,0.011684775352478027,0
gaussian,sigma,0.1,[simulated],7,0.048703696578741074,0.036258762081464134,0.03782359759012858,0.02259427309036255,0
gaussian,sigma,0.1,[simulated],0,0.04998721927404404,0.008017797760354975,0.8347351466615994,-1.0,0
gaussian,sigma,0.1,[simulated],1,0.052132945507764816,0.040254682302474976,0.3263746713598569,0.12278628349304199,0
gaussian,sigma,0.1,[simulated],2,0.05319742485880852,0.047169556841254234,0.08717763423919678,0.016552448272705078,0
gaussian,sigma,0.1,[simulated],3,0.05319742485880852,0.050633647168676056,0.013114166259765626,0.0019201040267944336,1
gaussian,sigma,0.1,[simulated],4,0.05319742485880852,0.05147677411635717,0.01395427385965983,9.1552734375e-05,2
gaussian,sigma,0.1,[simulated],5,0.06814803183078766,0.05572626429299513,0.022811746597290038,0.013719320297241211,0
gaussian,sigma,0.1,[simulated],6,0.06814803183078766,0.05782752608259519,0.05927962859471639,0.0055844783782958984,1
gaussian,sigma,0.1,[simulated],7,0.07624059915542603,0.0671437078466018,0.026820810635884602,0.01930636167526245,0
gaussian,sigma,0.1,[simulated],0,0.023807428777217865,-0.0058379508554935455,0.8241114164392154,-1.0,0
gaussian,sigma,0.1,[simulated],1,0.03002253919839859,0.02641884268571933,0.23526712656021118,0.022889375686645508,0
gaussian,sigma,0.1,[simulated],2,0.03002253919839859,0.026419241757442553,0.013386325041453043,0.00018399953842163086,1
gaussian,sigma,0.1,[simulated],3,0.0318114198744297,0.03036043296257655,0.02141291300455729,0.013411879539489746,0
gaussian,sigma,0.1,[simulated],4,0.04249337315559387,0.03232913464307785,0.04534722566604614,0.020767927169799805,0
gaussian,sigma,0.1,[simulated],5,0.04249337315559387,0.03718177787959576,0.05285831689834595,0.009956717491149902,1
gaussian,sigma,0.1,[simulated],6,0.04249337315559387,0.04064748684565226,0.02789729038874308,0.0013782978057861328,2
gaussian,sigma,0.1,[simulated],7,0.047695837914943695,0.04263115053375562,0.015727869669596353,0.010052263736724854,0
slerp_random,alpha,0.3,[simulated],0,0.012839902192354202,0.0048481202296291786,0.20205215215682984,-1.0,0
slerp_random,alpha,0.3,[simulated],1,0.01766813173890114,0.006945331813767552,0.11150198777516683,0.01415562629699707,0
