approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
p_mut=0.0,p_mut,0.0,[simulated],0,0.5024479031562805,0.4474955548842748,0.09827040831247966,-1.0,0
p_mut=0.0,p_mut,0.0,[simulated],1,0.5024479031562805,0.4765110909938812,0.08352007468541463,0.006803989410400391,1
p_mut=0.0,p_mut,0.0,[simulated],2,0.5024479031562805,0.49910081923007965,0.039963829517364505,0.0006837248802185059,2
p_mut=0.0,p_mut,0.0,[simulated],3,0.5025773048400879,0.48601699868837994,0.02747865120569865,5.519390106201172e-05,3
p_mut=0.0,p_mut,0.0,[simulated],4,0.5025773048400879,0.4950922081867854,0.04615434805552165,2.980232238769531e-07,4
p_mut=0.0,p_mut,0.0,[simulated],5,0.5025773048400879,0.5001929153998693,0.06513909896214803,1.7881393432617188e-07,5
p_mut=0.0,p_mut,0.0,[simulated],6,0.5025773048400879,0.4794936577479045,0.043680977821350095,0.0,6
p_mut=0.0,p_mut,0.0,[simulated],7,0.5025773048400879,0.499986931681633,0.05667216380437215,5.960464477539063e-08,7
p_mut=0.3,p_mut,0.3,[simulated],0,0.4927024841308594,0.4457438439130783,0.10676486492156982,-1.0,0
p_mut=0.3,p_mut,0.3,[simulated],1,0.5045934915542603,0.48383259773254395,0.06180024941762288,0.00582730770111084,1
p_mut=0.3,p_mut,0.3,[simulated],2,0.5045934915542603,0.4884955088297526,0.0801191250483195,0.0036487579345703125,2
p_mut=0.3,p_mut,0.3,[simulated],3,0.5772000551223755,0.5187140007813772,0.041519383589426674,0.004909694194793701,3
p_mut=0.3,p_mut,0.3,[simulated],4,0.5772000551223755,0.5356451322635015,0.060675481955210366,0.0016338825225830078,4
p_mut=0.3,p_mut,0.3,[simulated],5,0.5772000551223755,0.5398543576399485,0.07372238636016845,0.0024178624153137207,5
p_mut=0.3,p_mut,0.3,[simulated],6,0.6054900288581848,0.577312191327413,0.02619683345158895,0.01745760440826416,0
p_mut=0.3,p_mut,0.3,[simulated],7,0.6054900288581848,0.5769352118174235,0.06052055358886719,0.007254600524902344,1
p_mut=0.5,p_mut,0.5,[simulated],0,0.6143748760223389,0.4629422575235367,0.10923238595326741,-1.0,0
p_mut=0.5,p_mut,0.5,[simulated],1,0.6143748760223389,0.5478297273317972,0.0803965965906779,0.008246660232543945,1
p_mut=0.5,p_mut,0.5,[simulated],2,0.6143748760223389,0.591057280699412,0.039156997203826906,0.02356541156768799,0
p_mut=0.5,p_mut,0.5,[simulated],3,0.7720865607261658,0.6421035826206207,0.041546515623728436,0.024755001068115234,0
p_mut=0.5,p_mut,0.5,[simulated],4,0.7720865607261658,0.699458489815394,0.08614628314971924,0.0069397687911987305,1
p_mut=0.5,p_mut,0.5,[simulated],5,0.7720865607261658,0.7313920557498932,0.05219372908274333,0.0013275742530822754,2
p_mut=0.5,p_mut,0.5,[simulated],6,0.8081908226013184,0.7759854892889658,0.03247219721476237,0.02286696434020996,0
p_mut=0.5,p_mut,0.5,[simulated],7,0.8090941905975342,0.7823085983594259,0.06375058492024739,0.011740326881408691,0
